"V1";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63";"V64";"V65";"V66";"V67";"V68";"V69";"V70";"V71";"V72"
1518;1;1;2;2;3;4;2;1;5;1;2;;2;;;1;;;2;1;2;3;2;2;1;1;2;2;2;2;3;1;3;3;4;2;1;30;3;1;8;2;;1;1;1;1;1;;;5;1;1;1;1;;;;2;3;1;1;3;2;2;;3;;
1518;1;1;3;2;;2;2;3;2;;2;;;2;;1;;0;;1;2;2;2;2;2;1;2;;;;1;;;;;2;2;48;4;1;2;2;;1;1;1;1;1;;;8;;;;3;;2;;8;8;1;1;6;4;4;2;;;
1518;1;1;2;2;4;1;3;1;2;2;;4;2;;4;2;;;2;1;2;2;2;2;1;2;2;2;2;2;1;1;3;1;;2;2;25;2;2;1;1;1;1;1;1;1;1;;;4;1;;;;;;1;8;1;1;1;2;4;1;1;;;
1518;1;;;;;;3;2;3;1;3;;1;3;;;;1;2;1;2;2;2;1;2;2;1;1;3;1;3;;;1;5;2;2;22;2;2;1;2;;1;2;;;1;;;;;;;1;;;;1;2;1;1;1;1;1;1;;;
1518;1;3;2;1;1;1;1;2;1;1;5;;;3;;1;;3;2;1;2;;2;2;2;2;1;2;2;2;2;1;2;1;4;3;1;26;2;2;7;2;;1;2;;1;1;;;7;5;1;2;1;;8;1;2;8;1;1;2;2;4;;2;;
1518;1;1;2;2;1;1;2;2;1;1;2;;1;2;;1;;0;2;1;2;1;2;2;2;2;2;2;2;1;1;;;2;4;2;2;49;4;1;3;2;;1;1;1;1;1;;;2;1;1;1;1;;6;1;1;3;2;3;6;1;2;3;;;
1518;2;3;2;2;2;1;2;;2;1;2;;1;2;;1;;10;2;1;1;2;2;2;1;2;2;1;2;2;1;1;2;2;2;2;1;29;2;1;2;2;;1;2;;1;1;;;1;;2;2;0;;;4;2;;2;3;2;2;;2;;;
1518;2;2;2;3;3;1;7;6;5;2;;3;2;;6;7;;;2;2;2;2;2;2;2;2;2;1;3;2;1;1;2;1;2;1;2;34;3;1;3;2;;1;1;1;1;1;;;6;1;1;6;1;;0;1;1;2;2;1;3;1;1;3;;;
1518;1;2;2;2;3;1;2;5;1;1;2;;1;2;;1;;;1;1;1;1;1;2;1;2;2;2;2;;1;2;;1;;1;1;49;4;1;3;2;;1;1;1;1;1;;;3;1;3;2;1;;1;;3;4;1;1;6;2;2;3;;;
1518;1;3;2;1;3;2;1;1;1;1;1;;1;1;;1;;1;2;1;2;2;2;2;1;1;2;2;2;1;1;1;2;1;3;2;2;64;6;2;1;2;;1;1;1;1;1;;;2;1;;;6;;1;1;0;2;1;3;8;1;1;1;;;
1518;2;2;3;1;3;1;1;1;1;1;1;;2;;4;1;;0;2;1;2;2;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;59;5;1;10;1;;1;1;2;1;1;;;2;1;3;;1;;1;4;2;5;2;1;7;2;3;;;2;
1518;1;1;;2;2;2;2;5;2;;2;;1;2;;2;;;2;1;2;2;2;2;2;2;2;;;;;;1;;5;2;2;;;1;10;;;1;1;1;2;;;;4;1;;;1;;0;1;5;;1;1;;3;;;;2;
1518;2;1;1;3;2;4;2;7;3;1;2;;1;7;;2;;;1;1;1;1;2;2;1;2;2;1;1;1;1;3;3;3;5;2;1;40;4;1;6;2;;2;1;1;2;1;;;3;1;4;3;1;;1;4;4;5;5;3;5;3;3;;1;;
1518;1;;1;2;;1;8;;;1;3;;1;3;;;;;2;1;2;1;1;2;1;1;1;2;2;2;1;1;2;;2;3;2;32;3;1;6;2;;1;2;;1;3;;2;2;;;;;;;5;2;;3;;3;2;;;1;;
1518;2;3;2;2;3;4;2;;2;1;2;;1;2;;1;;0;2;2;2;1;2;2;1;2;2;2;2;1;1;2;2;2;2;2;;59;5;1;6;2;;1;1;1;1;1;;;5;4;1;2;1;;6;1;1;8;1;1;7;1;4;;1;;
1518;2;2;2;3;4;2;6;6;5;2;;2;2;;2;7;;6;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;3;3;2;30;3;1;6;2;;2;1;2;2;3;;2;3;1;1;6;0;;0;1;1;4;5;2;3;1;2;;1;;
1518;2;4;1;2;4;2;7;;5;2;;4;;;4;7;;;2;1;2;2;2;2;1;2;2;3;1;1;1;2;2;2;5;2;2;31;3;1;6;1;2;2;1;3;2;3;;1;3;1;4;5;;;0;4;1;2;5;2;3;1;1;;1;;
1518;2;2;2;3;3;1;2;;1;1;1;;1;2;;1;;0;2;1;1;2;2;2;1;2;2;1;2;1;1;1;1;2;4;2;2;29;2;1;6;1;2;;2;2;2;2;2;;1;;3;;1;;;4;3;3;5;3;2;2;2;;1;;
1518;1;3;2;2;1;2;2;2;3;1;2;;1;2;;2;;;2;1;2;1;2;2;1;1;2;2;2;2;1;1;;1;5;2;2;40;4;1;6;2;;1;1;1;;1;;;4;1;4;4;1;;1;5;2;4;3;3;5;2;2;;1;;
1518;1;6;;1;4;1;1;1;2;1;1;;1;1;;1;;4;;;;;;;;2;;2;2;1;2;1;2;2;3;2;1;49;4;1;6;2;;1;1;1;1;1;;;3;2;1;2;0;;1;1;3;4;2;3;6;2;2;;1;;
1518;1;2;2;2;3;1;2;1;;1;2;;;2;;;;;2;1;2;2;1;2;2;1;1;2;2;1;2;1;;;4;1;1;58;5;2;3;;;1;1;1;;;;;2;1;5;1;;;3;;8;;1;3;7;4;;3;;;
1518;1;1;3;2;3;1;3;1;;1;3;;1;3;;2;;;2;1;2;2;2;2;1;;2;2;2;2;1;2;;1;2;2;2;28;2;1;5;2;;1;2;;1;1;;;1;;3;;1;;;4;2;;;3;2;2;;5;;;
1518;1;3;2;2;3;1;2;5;2;1;3;;2;;4;2;;3;2;1;2;1;2;2;1;2;2;2;2;3;1;1;2;1;3;2;1;23;2;1;3;1;;1;2;;1;1;;;3;1;;;0;;;3;1;;1;1;1;1;;3;;;
1518;2;;;;;;;;5;2;;7;2;;5;7;;;2;2;2;1;2;2;1;2;2;1;3;3;1;3;2;1;5;3;2;21;2;1;6;1;2;2;1;2;2;1;;2;2;1;1;2;0;;1;3;1;8;5;4;1;1;4;;1;;
1518;2;2;2;2;3;2;2;5;3;1;2;;1;2;;2;;15;2;1;1;2;1;2;1;1;1;1;1;2;1;1;1;1;2;2;2;28;2;2;3;1;1;1;1;1;1;1;;;3;1;3;;1;;2;4;2;8;4;1;2;2;4;3;;;
1518;1;2;3;2;4;1;2;1;3;1;2;;1;2;;2;;;2;1;2;2;2;2;1;1;2;2;2;1;1;1;1;2;2;2;1;52;5;2;3;2;;1;1;1;1;1;;;4;2;5;1;2;;1;3;;7;2;1;7;;3;3;;;
1518;2;1;3;4;3;1;1;1;1;1;1;;;1;;1;;;2;1;2;2;2;2;;2;2;1;1;2;2;1;1;2;4;2;2;41;4;1;3;1;2;1;;2;1;1;;;1;;3;5;;;;3;2;2;;3;5;2;1;3;;;
1518;2;6;3;2;3;1;5;;1;1;1;;2;;7;1;;;2;1;2;1;2;2;1;1;2;2;2;1;1;1;2;2;4;2;2;21;2;1;3;2;;1;1;1;1;1;;;4;3;;;4;;;4;0;8;3;3;1;1;4;3;;;
1518;1;3;2;2;1;1;2;1;1;1;2;;1;2;;1;;0;2;1;2;2;1;2;1;2;2;2;2;2;1;1;1;1;4;1;;49;4;2;13;2;;1;1;1;1;1;;;8;3;5;1;7;;7;;0;3;1;1;6;1;2;;;;1
1518;1;1;3;3;4;2;2;1;1;1;2;;2;;6;1;;15;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;4;2;71;7;2;13;2;;1;2;;;;;;2;1;;;3;;5;1;;1;1;1;8;;1;;;;1
1518;1;6;;2;4;1;7;6;5;1;5;;3;;;1;;;2;1;3;2;2;2;2;2;2;1;3;2;3;2;3;2;5;1;1;23;2;2;13;2;;1;2;;1;1;;;3;2;;;4;;;3;0;8;1;1;1;1;4;;;;1
1518;1;3;1;2;3;2;;1;3;1;3;;1;3;;2;;4;2;1;1;2;1;2;1;1;2;2;2;3;1;1;;2;2;2;1;25;2;2;13;2;;1;1;1;1;1;;;3;1;1;1;;;4;4;0;1;2;1;2;1;1;;;;1
1518;1;1;2;2;1;1;2;1;1;1;2;;1;2;;1;;;2;1;2;2;1;2;1;1;2;2;;;1;1;;1;;;1;54;5;2;13;2;;1;1;1;1;1;;;3;1;1;1;1;;5;;2;3;1;1;7;2;2;;;;1
1518;1;;1;1;;2;2;;2;;;;1;;;;;;2;1;2;2;2;2;1;2;1;;;;;;;;5;2;2;68;6;1;13;;;1;1;1;;;;;2;1;5;1;;;;;;;1;;8;;;;;;1
1518;1;3;1;3;3;2;;5;5;1;5;;1;2;;1;;0;2;1;1;2;1;1;1;1;2;2;2;1;3;1;;2;4;2;1;22;2;2;13;2;;1;1;1;1;1;;;8;4;1;1;;;1;1;1;4;1;1;1;1;2;;;;1
1518;1;6;;1;4;2;2;6;2;1;2;;1;2;;1;;;;;;;;;;;;;;;;;;;5;1;2;38;3;2;13;;;1;1;1;;;;;;;;;3;;;;;;1;1;4;;;;;;1
1518;1;1;2;3;1;2;3;5;2;1;3;;1;3;;2;;5;2;1;2;1;2;2;1;2;2;1;2;1;1;1;1;1;4;2;2;31;3;1;2;2;;1;1;1;1;1;;;3;1;1;6;1;;1;5;2;4;2;3;3;2;2;2;;;
1518;2;5;1;2;1;3;2;1;3;1;2;;1;2;;2;;10;;1;;1;;;1;;;2;2;1;1;1;;2;4;2;2;35;3;1;3;1;1;1;1;1;1;1;;;3;1;3;3;1;;1;4;2;4;3;1;4;2;2;3;;;
1518;2;3;2;3;3;1;3;1;3;1;3;;1;3;;2;;;1;1;1;1;1;2;1;1;1;2;2;2;1;1;2;1;2;2;1;36;3;1;2;2;;1;1;1;1;1;;;2;1;3;;1;;1;4;4;5;3;1;4;3;3;2;;;
1518;1;1;3;2;3;1;2;4;5;;;;;;;1;;;;;;;;;;;;;;;;;;;;;2;32;3;1;2;2;;1;1;1;1;1;;;3;1;;;5;;0;1;;1;1;1;3;;1;2;;;
1518;1;3;2;1;3;3;2;5;1;1;2;;1;2;;1;;0;2;1;1;2;2;2;1;1;2;2;2;2;1;1;1;1;4;1;1;40;4;2;13;2;;1;1;1;1;1;;;3;1;5;1;7;;;1;1;2;1;1;5;1;1;;;;1
1518;1;1;1;2;3;1;3;1;3;1;3;;1;3;;;;0;2;1;2;2;2;2;1;2;2;3;2;3;1;1;3;2;5;1;2;25;2;2;2;1;1;1;1;1;1;1;;;3;1;;;3;;1;1;0;3;2;1;2;1;2;2;;;
1518;1;1;;2;;1;2;;2;1;2;;1;2;;1;;0;;1;2;;2;2;2;2;2;;;;;;1;3;5;2;2;53;5;2;2;2;;1;1;1;1;1;;;7;;;;3;;2;1;8;2;1;1;7;4;1;2;;;
1518;1;6;3;2;1;1;3;3;3;1;2;;1;3;;2;;1;2;1;2;2;2;2;2;2;2;2;;1;1;1;2;2;4;2;1;26;2;2;2;2;;1;2;;1;1;;;8;5;5;1;2;;;1;1;8;1;1;2;1;4;2;;;
1518;1;1;3;2;1;1;2;;2;;2;;;;;;;;2;1;2;2;2;;2;2;2;;2;;;2;;1;;2;2;50;5;2;2;1;;1;1;1;1;1;;;2;1;1;;1;;;1;0;0;1;1;7;1;1;2;;;
1518;1;2;3;2;3;2;2;1;1;1;2;;1;2;;1;;;2;1;2;2;2;2;2;2;2;2;2;3;1;1;3;1;5;2;1;26;2;1;13;2;;1;1;1;1;1;;;3;1;2;2;0;;1;4;1;2;1;1;2;1;1;;;;1
1518;1;;;;;;1;;1;1;1;;;;;;;;2;1;2;;;2;;2;1;3;3;;1;;1;1;;;2;64;6;2;13;1;1;1;1;1;1;1;;;2;1;;;7;;2;1;;8;1;;8;;4;;;;1
1518;2;3;2;4;3;2;1;1;1;2;;3;1;1;;7;;15;;1;;;;;1;;;1;3;1;1;1;2;2;3;2;1;42;4;1;6;;;2;1;1;1;3;;;4;1;1;2;0;;0;1;3;4;5;3;5;2;2;;1;;
1518;2;3;2;2;3;1;3;5;2;2;;3;1;3;;2;;;2;1;2;1;2;1;1;2;2;1;2;2;1;1;2;2;2;2;2;35;3;1;6;2;;1;1;2;1;3;;2;2;1;2;6;1;;1;5;4;6;3;3;4;3;3;;1;;
1518;1;3;1;1;1;3;2;4;1;1;2;;1;2;;5;;3;2;1;1;2;2;2;1;1;2;2;2;2;2;1;2;2;4;1;2;62;6;1;6;;;1;1;1;1;1;;;2;;;;3;;;3;8;8;1;3;8;4;4;;1;;
1518;1;3;3;2;3;1;1;2;1;3;;;1;1;;1;;;;;;;;;;;;2;1;1;1;1;3;2;4;2;2;28;2;1;6;1;1;1;2;;1;1;;;;;;;;;;;0;;2;3;2;1;;;1;;
1518;1;1;3;1;1;1;1;1;5;1;1;;2;;7;1;;1;2;1;2;2;2;2;2;2;2;1;2;2;1;1;2;1;2;5;2;64;6;1;10;2;;1;1;1;1;1;;;3;1;;;3;;1;1;0;0;1;1;8;1;1;;;2;
1518;2;1;3;3;2;2;5;;;2;;2;2;;2;1;;;2;2;2;1;2;2;1;2;1;1;3;1;3;1;;2;4;4;1;25;2;3;6;1;2;2;2;;;2;;1;1;;1;5;0;;;1;4;4;5;2;2;3;2;;1;;
1518;1;2;2;2;3;1;2;6;2;1;2;;1;2;;1;;0;2;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;4;2;2;23;2;1;12;2;;1;1;1;1;1;;;5;1;;;1;;5;1;1;4;1;1;1;1;2;;;4;
1518;1;1;2;2;3;1;2;3;2;1;2;;1;2;;2;;3;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;1;1;49;4;1;12;2;;1;1;1;1;1;;;7;4;1;;0;;1;1;2;4;1;1;6;2;2;;;4;
1518;1;;3;1;;1;1;;;1;1;;1;1;;1;;;;1;;1;;;;;;;2;;;3;;;;2;2;60;6;1;12;2;;1;1;1;1;1;;;;;1;;;;;;1;;1;1;8;1;;;;4;
1518;1;4;1;3;4;2;2;1;2;2;;4;1;2;;1;;0;1;1;2;2;2;2;1;3;2;;;3;;;;;5;2;2;24;2;1;0;2;;1;1;;1;;;;2;1;;;5;;1;1;8;2;2;1;1;4;1;;;;4
1518;2;2;3;2;3;3;2;1;3;1;2;;1;2;;2;;;2;1;;2;2;2;1;2;2;1;2;1;1;1;3;2;2;1;1;46;4;1;0;2;;2;2;;2;3;;1;2;;4;2;1;;;4;5;5;5;2;6;3;3;;;;4
1518;1;1;2;2;2;1;1;1;2;1;1;;1;1;;1;;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;4;2;1;39;3;1;14;2;;1;1;1;1;1;;;5;1;2;2;1;;1;4;2;4;1;1;4;2;2;;;;2
1518;1;3;2;2;3;2;2;5;5;1;2;;1;2;;;;6;2;1;;2;2;2;1;2;2;2;2;1;1;1;1;2;3;2;1;23;2;1;10;2;;1;2;;1;1;;;;;2;2;0;;;4;3;;1;1;1;2;;;;2;
1518;2;1;2;3;3;1;1;;1;1;1;;1;1;;1;;1;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;1;4;2;1;51;5;1;10;2;;1;2;;1;1;;;1;;;;6;;;4;1;;3;3;7;1;;;;2;
1518;1;1;2;3;3;1;6;7;;1;1;;1;1;;7;;;2;1;2;2;2;2;1;1;2;2;2;3;1;1;;2;4;2;1;43;4;1;10;2;;1;1;1;1;1;;;2;;3;;1;;1;4;2;3;1;1;5;2;2;;;2;
1518;1;2;1;2;;1;2;1;3;1;2;;1;2;;1;;;1;1;2;2;2;2;1;2;2;2;2;2;1;1;3;3;2;2;2;35;3;1;6;6;1;1;1;1;1;1;;;5;1;;;1;;0;4;0;5;2;1;4;1;3;;1;;
1518;2;1;3;1;4;1;1;6;5;1;5;;1;1;;7;;15;1;1;1;2;2;2;1;2;2;1;2;1;1;1;2;1;5;2;2;35;3;1;6;2;;1;1;2;1;1;;;4;1;3;;0;;0;4;2;5;3;3;4;2;3;;1;;
1518;1;2;2;2;3;1;2;2;2;1;2;;1;2;;1;;0;;;;;;;1;;;1;;;1;1;;2;1;2;;;;1;6;;;1;;;;;;;;;;;;;;;0;;1;1;;1;;;1;;
1518;2;2;3;2;3;1;2;1;5;2;;3;2;;5;1;;;2;2;2;2;2;2;1;2;1;2;2;1;3;1;1;2;4;4;1;29;2;1;0;1;2;2;2;;2;1;;;1;;4;2;1;;;6;4;4;5;2;2;3;2;;;;5
1518;2;2;2;3;2;1;1;1;1;1;1;;;;;1;;4;2;1;2;2;2;2;1;2;2;2;1;1;1;1;2;2;4;2;1;30;3;1;0;1;1;1;1;1;1;1;;;4;2;4;5;1;;1;4;4;5;3;1;3;3;3;;;;5
1518;1;2;1;2;3;1;1;3;5;1;1;;1;1;;1;;7;2;1;2;2;2;2;2;2;1;2;2;;1;2;1;2;2;1;2;53;5;1;10;2;;1;1;1;1;1;;;4;1;;;3;;1;1;8;;1;1;7;4;;;;2;
1518;1;2;;2;3;1;2;1;2;1;2;;1;2;;1;;0;;1;1;2;1;2;1;1;1;2;2;1;;1;2;;4;1;1;45;4;1;10;1;1;1;1;1;1;1;;;3;;;;1;;3;3;2;4;;3;6;2;2;;;2;
1518;1;3;1;2;1;1;2;2;3;1;2;;1;2;;2;;;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;1;3;1;1;35;3;1;10;1;1;1;2;;1;1;;;;;1;2;1;;;1;1;;1;1;4;1;;;;2;
1518;1;3;2;2;;;7;;5;;;;;;;1;;;2;2;2;2;2;2;1;3;2;;2;1;1;1;1;;;2;;30;3;1;14;;;1;;;;;;;;;;;;;1;1;;;2;3;3;;;;;;2
1518;1;2;3;2;3;2;1;5;1;1;1;;1;1;;1;;4;;1;1;;;;;1;;2;;3;1;1;2;2;4;2;2;44;4;1;6;2;;1;2;;1;1;;;4;1;;;6;;;3;8;0;2;3;5;4;1;;1;;
1518;2;3;2;2;3;2;3;5;5;2;;5;2;;4;4;;2;2;2;2;2;2;2;1;2;1;3;2;2;1;1;2;1;2;2;2;28;2;1;6;1;2;2;1;2;2;3;;1;2;1;4;5;1;;1;5;3;6;5;2;2;2;3;;1;;
1518;1;1;3;1;;2;1;;1;;1;;;1;;3;;;2;1;2;2;2;2;1;;;2;;;;;;;;2;2;58;5;1;7;;;1;2;1;1;1;;;;;1;6;;;;;;;1;1;7;;;;2;;
1518;2;3;2;3;3;2;8;;;1;;7;1;;7;7;;15;2;1;2;2;2;2;1;2;2;1;1;2;2;1;1;2;4;3;2;37;3;1;6;2;;2;1;2;2;2;1;;2;1;4;2;0;;0;6;4;7;5;3;4;3;3;;1;;
1518;1;1;3;2;1;2;8;7;5;;;;;;;7;;;;;;;;;;;;1;;;1;;2;1;2;2;1;45;4;1;6;;;1;1;1;1;1;;;4;3;;;0;;1;4;0;;1;1;6;1;;;1;;
1518;2;2;2;2;3;1;7;6;5;1;3;;;;;2;;;2;1;2;1;2;2;2;2;2;1;2;1;1;1;2;2;2;2;2;35;3;1;6;1;2;1;1;1;1;1;;;4;1;3;5;1;;2;3;3;7;2;1;4;2;3;;1;;
1518;2;;;;;1;5;;1;2;;2;2;;1;1;;15;2;2;1;2;2;2;1;2;2;1;1;1;1;1;1;2;4;4;2;19;1;1;6;1;2;2;2;;1;2;;;3;2;;;4;;;3;0;6;5;2;0;1;3;;1;;
1518;1;1;2;2;3;1;2;1;2;;2;;;;;1;;0;2;;2;;1;2;1;1;2;2;2;;1;1;2;;2;2;2;51;5;1;6;;;1;2;1;;1;;;3;1;;;;;;1;3;;1;1;7;2;;;1;;
1518;1;1;3;2;3;1;2;5;5;2;;4;1;2;;7;;;2;1;2;2;2;2;1;1;2;2;2;1;1;1;2;2;3;;1;22;2;2;13;2;;1;2;;;1;;;4;3;;1;;;;1;2;8;1;1;1;2;4;;;;1
1518;1;1;;2;3;5;2;1;5;1;2;;1;1;;1;;3;;1;;;;;1;;;1;2;1;1;3;2;2;5;1;1;32;3;1;13;2;;1;1;1;1;1;;;4;1;6;2;2;;1;4;2;3;1;1;3;2;2;;;;1
1518;1;6;1;;3;1;3;1;2;1;3;;1;3;;2;;;2;1;2;1;2;2;1;1;2;1;2;2;1;1;;1;;2;2;22;2;2;10;1;1;1;2;;1;1;;;6;3;;;5;;;5;8;8;1;1;1;4;4;;;2;
1518;1;2;2;2;3;2;3;4;3;1;3;;2;;1;2;;2;2;1;2;2;2;2;1;2;1;2;2;2;1;2;2;1;2;2;1;19;1;1;10;1;1;1;2;;1;1;;;1;;;;0;;;4;0;0;1;1;0;1;1;;;2;
1518;1;1;3;2;4;2;2;1;1;1;2;;1;2;;1;;;2;1;2;2;1;2;;3;3;1;2;1;1;2;2;2;4;2;2;30;3;2;0;2;;1;1;1;1;1;;;4;1;3;2;1;;5;4;2;2;;;3;2;1;;;;4
1518;2;1;1;1;2;2;1;3;1;2;;3;1;1;;;;0;2;1;2;2;2;2;2;2;2;2;1;1;2;1;1;1;4;1;2;28;2;2;0;1;1;1;2;;1;2;2;;3;2;;;5;;;1;8;8;2;3;2;4;4;;;;4
1518;2;2;2;2;3;2;7;;2;1;2;;1;2;;7;;15;2;1;2;2;2;2;1;2;2;1;2;2;1;1;3;1;2;2;2;22;2;2;2;1;1;2;1;1;1;1;;;3;1;5;1;3;;2;4;8;8;5;1;1;4;4;2;;;
1518;2;;3;4;2;2;6;;1;2;;5;;;;1;;;2;2;2;2;2;2;2;2;2;;;;;;;;;;1;43;4;1;2;1;2;2;1;2;2;3;;1;3;2;4;2;1;;0;6;4;5;5;3;5;3;3;2;;;
1518;2;;;3;3;2;2;1;2;1;2;;2;;1;1;;6;2;1;2;2;2;2;1;2;1;1;1;1;2;1;2;2;4;2;1;19;1;1;2;1;1;1;1;1;1;1;;;5;2;;;5;;5;2;8;8;3;3;0;4;4;2;;;
1518;1;2;2;1;3;1;2;5;1;2;;4;1;2;;1;;0;2;1;2;2;2;2;2;2;2;2;;3;1;;;;;2;2;58;5;1;5;1;1;1;1;1;1;1;;;;;;;1;;2;;;3;1;3;7;;2;5;;;
1518;2;2;2;2;3;2;2;1;5;1;2;;1;3;;1;;;2;1;1;1;2;2;1;1;2;1;2;1;1;1;3;1;5;2;2;46;4;1;2;1;1;2;1;1;1;1;;;5;1;;;1;;1;;3;4;4;3;6;2;2;2;;;
1518;2;4;2;2;3;1;7;6;1;1;1;;2;;4;1;;0;2;1;2;2;2;2;1;2;1;1;2;1;1;1;2;2;4;1;1;42;4;1;2;1;2;1;1;2;2;1;;;6;1;2;;1;;1;4;3;4;3;3;5;2;2;2;;;
1518;2;3;2;3;3;2;1;5;1;1;5;;1;1;;1;;4;2;1;1;2;1;2;1;1;1;1;1;1;1;;2;2;3;3;1;44;4;1;0;2;;2;2;;2;1;;;1;;6;2;2;;;4;4;;5;3;5;3;;;;;5
1518;2;1;1;4;3;1;1;2;1;2;;4;1;1;;1;;0;2;1;2;2;2;2;1;2;2;1;3;1;2;2;3;2;4;2;1;29;2;1;13;1;1;1;1;1;1;1;;;7;4;2;2;1;;2;4;3;3;3;3;2;2;2;;;;1
1518;1;1;3;2;1;1;3;2;2;1;2;;1;2;;2;;10;;1;;;;;;;;1;2;1;1;2;3;1;2;4;2;64;6;1;13;1;1;1;1;1;1;1;;;5;3;1;2;1;;1;1;1;4;1;1;8;1;2;;;;1
1518;1;2;3;2;2;1;2;2;3;2;;4;1;2;;2;;3;2;1;2;2;2;2;2;2;1;2;1;1;1;3;1;3;2;2;1;29;2;2;13;;;1;2;;1;1;;;3;1;5;1;;;;3;1;1;1;1;2;1;1;;;;1
1518;1;3;2;2;4;1;2;5;2;1;2;;1;2;;1;;0;2;1;2;2;2;2;2;2;2;;;2;;;;;5;2;2;34;3;2;13;2;;1;1;1;1;;;;5;1;;;;;;1;;;1;1;3;;;;;;1
1518;2;2;3;;3;1;2;7;5;1;2;;1;2;;1;;0;1;1;1;2;2;2;1;2;2;1;1;2;1;1;2;2;;3;2;35;3;1;10;1;1;1;1;2;2;1;;;3;1;3;;1;;1;4;3;7;5;2;4;2;3;;;2;
1518;1;1;2;4;4;1;3;1;5;1;3;;2;;;7;;;2;1;2;2;2;2;2;2;2;;3;;;3;3;;5;2;1;21;2;1;10;2;;1;2;;;3;;;;;;;5;;;1;1;;1;1;1;1;;;;2;
1518;2;1;3;2;3;1;1;2;1;2;;7;1;1;;1;;1;2;1;2;2;2;2;1;2;2;1;2;2;1;1;2;1;5;2;1;21;2;1;10;1;1;1;2;;1;3;;2;1;;;;4;;;2;8;8;2;1;1;4;4;;;2;
1518;1;1;2;2;4;1;3;1;5;1;3;;1;3;;2;;2;2;1;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;4;1;23;2;1;10;2;;1;2;;1;1;;;5;3;1;1;1;;;1;1;;1;1;1;1;;;;2;
1518;1;3;2;2;2;3;2;3;5;2;;1;2;;1;7;;;2;2;2;2;2;2;2;2;2;;2;;;;1;2;3;2;1;18;1;1;6;2;;1;2;;1;1;;;;;;;4;;;;0;;1;1;0;1;;;1;;
1518;1;1;2;1;3;1;1;1;5;1;1;;1;4;;1;;15;2;1;1;1;2;1;1;2;2;1;2;2;1;1;1;1;3;2;;47;4;2;6;2;;1;1;1;1;1;;;2;1;;;1;;1;1;2;4;2;1;6;2;2;;1;;
1518;2;1;3;1;3;1;1;5;1;1;1;;1;1;;1;;1;2;1;2;2;2;2;1;2;1;2;1;1;1;1;2;2;3;2;1;48;4;1;10;2;;1;1;1;2;1;;;2;1;2;;1;;1;4;2;4;3;3;6;2;2;;;2;
1518;2;1;2;2;3;1;2;2;1;1;2;;;;;1;;;2;1;1;2;2;2;1;2;2;2;2;1;1;1;1;2;4;2;2;43;4;1;10;1;1;2;1;1;2;1;;;7;2;4;5;1;;0;6;5;6;5;3;5;3;3;;;2;
1518;1;1;2;3;;1;7;;;;;;;;;;;;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;2;5;;2;31;3;1;10;2;;1;1;1;1;1;;;4;2;1;2;0;;0;;2;4;2;1;3;2;2;;;2;
1518;1;;2;1;3;2;1;1;1;1;1;;1;1;;1;;;;;;2;2;;1;2;1;;;;;;;2;;2;2;55;5;2;14;2;;1;1;1;1;;;;4;3;;;7;;;1;0;0;1;3;7;1;1;;;;2
1518;1;3;;;4;5;8;7;2;1;2;;1;2;;1;;0;2;1;2;2;1;2;1;1;2;2;2;3;3;2;2;2;3;2;1;29;2;2;14;2;;1;1;1;1;1;;;6;3;1;2;1;;1;3;8;8;1;1;2;4;4;;;;2
1518;2;;;2;4;2;7;6;5;2;;4;2;;4;7;;;2;2;2;2;2;2;2;2;2;3;2;1;2;1;2;1;4;2;1;28;2;1;12;1;2;2;1;2;2;2;1;;1;;2;2;0;;4;4;4;4;5;2;2;3;2;;;4;
1518;1;3;1;2;3;1;2;5;5;1;2;;1;2;;;;;2;1;2;2;2;2;1;2;2;2;2;2;1;1;;;2;2;1;32;3;1;5;2;;1;1;1;1;1;;;2;1;1;1;;;;1;2;2;2;1;3;2;1;5;;;
1518;1;3;2;2;3;1;2;1;2;1;2;;1;2;;1;;;1;1;2;2;1;2;1;1;1;2;2;1;1;1;2;;2;1;2;43;4;2;7;2;;1;1;1;1;1;;;4;1;;;3;;1;1;;;1;1;5;;;;2;;
